[2017-06-06 12:47:43.000000]counter:=			APPLICATION_RUN_END [0.12470316886902]
[2017-06-06 12:47:44.000000]counter:=			APPLICATION_RUN_END [0.79927587509155]
[2017-06-06 12:47:56.000000]counter:=			APPLICATION_RUN_END [0.14223694801331]
[2017-06-06 12:47:56.000000]counter:=			APPLICATION_RUN_END [0.35597395896912]
[2017-06-06 12:47:56.000000]counter:=			APPLICATION_RUN_END [0.12437796592712]
[2017-06-06 12:47:57.000000]counter:=			APPLICATION_RUN_END [0.13544797897339]
[2017-06-06 12:47:57.000000]counter:=			APPLICATION_RUN_END [0.12431597709656]
[2017-06-06 12:47:57.000000]counter:=			APPLICATION_RUN_END [0.14051818847656]
[2017-06-06 12:48:02.000000]counter:=			APPLICATION_RUN_END [0.15311193466187]
[2017-06-06 12:48:03.000000]counter:=			APPLICATION_RUN_END [0.30460596084595]
[2017-06-06 12:48:03.000000]counter:=			APPLICATION_RUN_END [0.12522602081299]
[2017-06-06 12:48:04.000000]counter:=			APPLICATION_RUN_END [0.13813591003418]
[2017-06-06 12:48:04.000000]counter:=			APPLICATION_RUN_END [0.1552460193634]
[2017-06-06 12:48:05.000000]counter:=			APPLICATION_RUN_END [0.1438319683075]
[2017-06-06 12:48:05.000000]counter:=			APPLICATION_RUN_END [0.11819911003113]
[2017-06-06 12:48:05.000000]counter:=			APPLICATION_RUN_END [0.15548586845398]
[2017-06-06 12:48:05.000000]counter:=			APPLICATION_RUN_END [0.14582300186157]
[2017-06-06 12:48:05.000000]counter:=			APPLICATION_RUN_END [0.16525983810425]
[2017-06-06 12:48:06.000000]counter:=			APPLICATION_RUN_END [0.1580810546875]
[2017-06-06 12:48:06.000000]counter:=			APPLICATION_RUN_END [0.16123104095459]
[2017-06-06 12:48:06.000000]counter:=			APPLICATION_RUN_END [0.15863490104675]
[2017-06-06 12:48:06.000000]counter:=			APPLICATION_RUN_END [0.1665141582489]
[2017-06-06 12:48:06.000000]counter:=			APPLICATION_RUN_END [0.17417311668396]
[2017-06-06 12:48:07.000000]counter:=			APPLICATION_RUN_END [0.17707204818726]
[2017-06-06 12:48:07.000000]counter:=			APPLICATION_RUN_END [0.1238009929657]
[2017-06-06 12:48:07.000000]counter:=			APPLICATION_RUN_END [0.16701698303223]
[2017-06-06 12:48:07.000000]counter:=			APPLICATION_RUN_END [0.18596410751343]
[2017-06-06 12:48:07.000000]counter:=			APPLICATION_RUN_END [0.1832389831543]
[2017-06-06 12:48:09.000000]counter:=			APPLICATION_RUN_END [1.5474379062653]
[2017-06-06 12:48:09.000000]counter:=			APPLICATION_RUN_END [0.22461485862732]
[2017-06-06 12:48:09.000000]counter:=			APPLICATION_RUN_END [0.20108795166016]
[2017-06-06 12:48:10.000000]counter:=			APPLICATION_RUN_END [0.22632503509521]
[2017-06-06 12:48:10.000000]counter:=			APPLICATION_RUN_END [0.21940922737122]
[2017-06-06 12:48:10.000000]counter:=			APPLICATION_RUN_END [0.18751192092896]
[2017-06-06 12:48:10.000000]counter:=			APPLICATION_RUN_END [0.23757791519165]
[2017-06-06 12:48:11.000000]counter:=			APPLICATION_RUN_END [0.22477507591248]
[2017-06-06 12:48:11.000000]counter:=			APPLICATION_RUN_END [0.21209597587585]
[2017-06-06 12:48:11.000000]counter:=			APPLICATION_RUN_END [0.18867802619934]
[2017-06-06 12:48:11.000000]counter:=			APPLICATION_RUN_END [0.17903709411621]
[2017-06-06 12:48:12.000000]counter:=			APPLICATION_RUN_END [0.23790097236633]
[2017-06-06 12:48:12.000000]counter:=			APPLICATION_RUN_END [0.19435596466064]
[2017-06-06 12:48:12.000000]counter:=			APPLICATION_RUN_END [0.25723385810852]
[2017-06-06 12:48:12.000000]counter:=			APPLICATION_RUN_END [0.19564390182495]
[2017-06-06 12:48:13.000000]counter:=			APPLICATION_RUN_END [0.17640209197998]
